Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,2020-12-27,26389.2902649448,26367.5113609256,28352.6278235304,25759.0686089471
BTC,2020-12-28,26718.0294634041,26435.3474191519,27447.5513835111,26046.6255781142
BTC,2020-12-29,26975.7295645207,26860.8087777072,27169.2255580213,25875.0497857974
BTC,2020-12-30,28768.8362075267,27014.8108818837,28928.2143914654,26920.827862467
BTC,2020-12-31,29111.5215671239,28703.2411347623,29280.0453282743,27916.6250585376
BTC,2021-01-01,29333.6051206224,29102.6793266819,29601.5948984761,28753.412313829
BTC,2021-01-02,32154.1673632745,29285.8245195693,33064.6735343199,29012.9278866631
BTC,2021-01-03,33002.5364270397,32055.6856440074,34452.0803367239,31570.1677004861
BTC,2021-01-04,31431.6122797216,32901.8527686687,33391.8296507692,28154.1102978607
BTC,2021-01-05,34433.6065138377,31331.9781141568,34435.4174754116,29948.6536284251
BTC,2021-01-06,36275.7563476709,34254.694924152,36461.6917738274,33351.0281200728
BTC,2021-01-07,39713.5078567171,36050.3498342058,40324.0140328883,36025.4860723634
BTC,2021-01-08,40519.4485975339,39625.5415112027,41962.3621250156,36741.3301768178
BTC,2021-01-09,40258.923988658,40637.167216288,41375.4306807605,38766.2761605625
BTC,2021-01-10,38709.7653748751,40278.16629841,41186.5234299068,34897.55046586
BTC,2021-01-11,34409.6423752223,38383.2951780705,38614.6785760841,30305.3000452098
BTC,2021-01-12,34214.6102620504,34407.625250182,36566.9090630439,32538.9411741261
BTC,2021-01-13,37017.0075034547,33753.7266552727,37798.8601044987,32470.585257739
BTC,2021-01-14,38435.8635146613,37177.8259733352,40066.3197563039,36770.7951226794
BTC,2021-01-15,36751.5849736892,38942.5099090866,39673.0723008878,34425.4879409361
BTC,2021-01-16,36016.7796059422,36606.8701660443,37943.5121652479,35398.8675192264
BTC,2021-01-17,36375.8113792618,36166.6961347556,36840.1328539,33870.1383757585
BTC,2021-01-18,36346.6095022257,36185.9284589473,37440.4040115605,34816.2892503946
BTC,2021-01-19,36577.5196463886,36490.8991441113,37876.1589287651,36136.5355744097
BTC,2021-01-20,35004.5326268831,36667.625223736,36736.2128466912,33430.8219917583
BTC,2021-01-21,30606.1826756533,34999.6224651829,35668.3685848359,30077.2789554444
BTC,2021-01-22,33368.3659318948,30901.2438241362,33873.7729879217,28845.3114802702
BTC,2021-01-23,32070.0974252022,32873.1417424202,33501.248445319,31451.2963049754
BTC,2021-01-24,32285.726132437,32080.0589424875,33088.5485468723,30987.7038591708
BTC,2021-01-25,32500.2559626891,32171.3489509912,34893.984019267,31949.282371139
BTC,2021-01-26,31062.5495278594,32475.1450774585,32770.8046094116,31062.5495278594
